[0.60163369] [1.07012348] [1.56578757] [2.09182796] [2.62123262] [3.16689511] [3.72209031] [4.33226878] [5.03298274] [5.77925333] [6.57017313] [7.47503792] [8.92336798] [10.90225446] [13.93247785] [17.36109822] [22.92055795] [32.42378937] [50.97775027] [78.1966965] [1.61098919] 
[0.571552] [1.01661731] [1.48749819] [1.98723656] [2.49017099] [3.00855036] [3.5359858] [4.11565534] [4.78133361] [5.49029067] [6.24166447] [7.10128602] [8.47719958] [10.35714174] [13.23585396] [16.49304331] [21.77453005] [30.8025999] [48.42886276] [74.28686168] [1.53043973] 
[0.5429744] [0.96578644] [1.41312328] [1.88787473] [2.36566244] [2.85812284] [3.35918651] [3.90987257] [4.54226693] [5.21577613] [5.92958125] [6.74622172] [8.0533396] [9.83928465] [12.57406126] [15.66839115] [20.68580355] [29.26246991] [46.00741962] [70.57251859] [1.45391775] 
[0.51582568] [0.91749712] [1.34246712] [1.793481] [2.24737932] [2.7152167] [3.19122718] [3.71437894] [4.31515358] [4.95498733] [5.63310219] [6.40891063] [7.65067262] [9.34732042] [11.9453582] [14.88497159] [19.65151337] [27.79934641] [43.70704864] [67.04389266] [1.38122186] 
[0.4900344] [0.87162226] [1.27534376] [1.70380695] [2.13501035] [2.57945586] [3.03166582] [3.52865999] [4.0993959] [4.70723796] [5.35144708] [6.0884651] [7.26813899] [8.8799544] [11.34809029] [14.14072301] [18.6689377] [26.40937909] [41.5216962] [63.69169803] [1.31216077] 
[0.46553268] [0.82804115] [1.21157657] [1.6186166] [2.02825983] [2.45048307] [2.88008253] [3.35222699] [3.89442611] [4.47187606] [5.08387472] [5.78404185] [6.90473204] [8.43595668] [10.78068578] [13.43368686] [17.73549082] [25.08891014] [39.44561139] [60.50711313] [1.24655273] 
[0.44225604] [0.78663909] [1.15099774] [1.53768577] [1.92684684] [2.32795892] [2.73607841] [3.18461564] [3.6997048] [4.24828226] [4.82968099] [5.49483975] [6.55949544] [8.01415884] [10.24165149] [12.76200252] [16.84871628] [23.83446463] [37.47333082] [57.48175747] [1.18422509] 
[0.42014324] [0.74730714] [1.09344786] [1.46080148] [1.8305045] [2.21156097] [2.59927449] [3.02538486] [3.51471956] [4.03586815] [4.58819694] [5.22009777] [6.23152067] [7.6134509] [9.72956891] [12.12390239] [16.00628046] [22.6427414] [35.59966428] [54.6076696] [1.12501384] 
[0.39913608] [0.70994178] [1.03877546] [1.38776141] [1.73897927] [2.10098292] [2.46931076] [2.87411562] [3.33898358] [3.83407474] [4.35878709] [4.95909288] [5.91994463] [7.23277836] [9.24309047] [11.51770727] [15.20596644] [21.51060433] [33.81968107] [51.87728612] [1.06876314] 
[0.37917928] [0.67444469] [0.98683669] [1.31837334] [1.65203031] [1.99593378] [2.34584522] [2.73040984] [3.1720344] [3.642371] [4.14084774] [4.71113823] [5.6239474] [6.87113944] [8.78093594] [10.94182191] [14.44566812] [20.43507411] [32.12869702] [49.28342181] [1.01532499] 
[0.36022031] [0.64072246] [0.93749486] [1.25245467] [1.56942879] [1.89613709] [2.22855296] [2.59388935] [3.01343268] [3.46025245] [3.93380535] [4.47558132] [5.34275003] [6.52758247] [8.34188915] [10.39473081] [13.72338471] [19.41332041] [30.52226217] [46.81925072] [0.96455874] 
[0.3422093] [0.60868634] [0.89062011] [1.18983194] [1.49095735] [1.80133023] [2.11712531] [2.46419488] [2.86276105] [3.28723983] [3.73711508] [4.25180226] [5.07561253] [6.20120334] [7.92479469] [9.87499427] [13.03721548] [18.44265439] [28.99614906] [44.47828819] [0.9163308] 
[0.32509883] [0.57825202] [0.84608911] [1.13034034] [1.41640949] [1.71126372] [2.01126905] [2.34098514] [2.719623] [3.12287784] [3.55025933] [4.03921214] [4.8218319] [5.89114318] [7.52855495] [9.38124456] [12.3853547] [17.52052167] [27.5463416] [42.25437378] [0.87051426] 
[0.30884389] [0.54933942] [0.80378465] [1.07382332] [1.34558901] [1.62570054] [1.9107056] [2.22393588] [2.58364185] [2.96673395] [3.37274636] [3.83725154] [4.58074031] [5.59658602] [7.15212721] [8.91218233] [11.76608697] [16.64449558] [26.16902452] [40.14165509] [0.82698855] 
