Iteration: 464
[0.29014505] [0.54851449] [0.80120817] [1.06663598] [1.33668866] [1.73985243] [2.22751285] [2.55976409] [2.90483449] [3.31874818] [3.83654165] [4.35548821] [5.22713938] [6.56141468] [7.99758432] [10.42137649] [15.12962513] [26.41840213] [38.4700992] [54.16850816] [1.26195564] 
[0.27563779] [0.52108876] [0.76114776] [1.01330418] [1.26985422] [1.65285981] [2.11613721] [2.43177589] [2.75959276] [3.15281077] [3.64471457] [4.1377138] [4.96578241] [6.23334395] [7.5977051] [9.90030766] [14.37314387] [25.09748202] [36.54659424] [51.46008275] [1.19885786] 
[0.2618559] [0.49503432] [0.72309037] [0.96263897] [1.20636151] [1.57021682] [2.01033035] [2.31018709] [2.62161312] [2.99517023] [3.46247884] [3.93082811] [4.71749329] [5.92167675] [7.21781985] [9.40529228] [13.65448668] [23.84260792] [34.71926453] [48.88707861] [1.13891497] 
[0.24876311] [0.47028261] [0.68693585] [0.91450702] [1.14604344] [1.49170598] [1.90981383] [2.19467774] [2.49053247] [2.84541172] [3.2893549] [3.7342867] [4.48161862] [5.62559291] [6.85692885] [8.93502767] [12.97176234] [22.65047752] [32.9833013] [46.44272468] [1.08196922] 
[0.23632495] [0.44676848] [0.65258906] [0.86878167] [1.08874126] [1.41712068] [1.81432314] [2.08494385] [2.36600584] [2.70314114] [3.12488715] [3.54757237] [4.25753769] [5.34431327] [6.51408241] [8.48827628] [12.32317423] [21.51795365] [31.33413624] [44.12058845] [1.02787076] 
[0.22450871] [0.42443005] [0.61995961] [0.82534259] [1.0343042] [1.34626465] [1.72360698] [1.98069666] [2.24770555] [2.56798408] [2.96864279] [3.37019375] [4.04466081] [5.0770976] [6.18837829] [8.06386247] [11.70701551] [20.44205596] [29.76742942] [41.91455903] [0.97647722] 
[0.21328327] [0.40320855] [0.58896163] [0.78407546] [0.98258899] [1.27895141] [1.63742663] [1.88166183] [2.13532027] [2.43958488] [2.82021065] [3.20168406] [3.84242777] [4.82324272] [5.87895938] [7.66066934] [11.12166474] [19.41995317] [28.27905795] [39.81883108] [0.92765336] 
[0.20261911] [0.38304812] [0.55951355] [0.74487169] [0.93345954] [1.21500384] [1.5555553] [1.78757874] [2.02855426] [2.31760563] [2.67920012] [3.04159986] [3.65030638] [4.58208059] [5.58501141] [7.27763588] [10.5655815] [18.44895551] [26.86510506] [37.82788952] [0.88127069] 
[0.19248815] [0.36389572] [0.53153787] [0.7076281] [0.88678656] [1.15425365] [1.47777753] [1.6981998] [1.92712655] [2.20172535] [2.54524011] [2.88951987] [3.46779106] [4.35297656] [5.30576084] [6.91375408] [10.03730243] [17.52650773] [25.5218498] [35.93649505] [0.83720716] 
[0.18286374] [0.34570093] [0.50496098] [0.6722467] [0.84244724] [1.09654097] [1.40388866] [1.61328981] [1.83077022] [2.09163908] [2.41797811] [2.74504387] [3.29440151] [4.13532773] [5.0404728] [6.56806638] [9.5354373] [16.65018235] [24.24575731] [34.13967029] [0.7953468] 
[0.17372056] [0.32841588] [0.47971293] [0.63863436] [0.80032487] [1.04171392] [1.33369422] [1.53262532] [1.73923171] [1.98705713] [2.2970792] [2.60779168] [3.12968143] [3.92856134] [4.78844916] [6.23966306] [9.05866544] [15.81767323] [23.03346945] [32.43268678] [0.75557946] 
[0.16503453] [0.31199509] [0.45572728] [0.60670264] [0.76030863] [0.98962822] [1.26700951] [1.45599405] [1.65227012] [1.88770427] [2.18222524] [2.47740209] [2.97319736] [3.73213328] [4.5490267] [5.92767991] [8.60573217] [15.02678957] [21.88179597] [30.81105244] [0.71780049] 
[0.1567828] [0.29639534] [0.43294092] [0.57636751] [0.7222932] [0.94014681] [1.20365904] [1.38319435] [1.56965662] [1.79331906] [2.07311398] [2.35353199] [2.82453749] [3.54552661] [4.32157536] [5.63129591] [8.17544556] [14.27545009] [20.78770618] [29.27049982] [0.68191046] 
[0.14894366] [0.28157557] [0.41129387] [0.54754914] [0.68617854] [0.89313947] [1.14347609] [1.31403463] [1.49117379] [1.70365311] [1.96945828] [2.23585539] [2.68331062] [3.36825028] [4.10549659] [5.34973112] [7.76667328] [13.56167758] [19.74832087] [27.80697483] [0.64781494] 
[0.14149648] [0.26749679] [0.39072918] [0.52017168] [0.65186961] [0.8484825] [1.08630228] [1.2483329] [1.4166151] [1.61847045] [1.87098537] [2.12406262] [2.54914509] [3.19983777] [3.90022176] [5.08224456] [7.37833962] [12.8835937] [18.76090482] [26.41662609] [0.61542419] 
